ident,iata_code,latitude_deg,longitude_deg
AGGH,HIR,-9.428,160.054993
AYPY,POM,-9.443380356,147.22000122070312
BIKF,KEF,63.985001,-22.6056
CYEG,YEG,53.3097,-113.580002
CYHZ,YHZ,44.88079834,-63.50859833
CYOW,YOW,45.322498,-75.669197
CYQB,YQB,46.7911,-71.393303
CYUL,YUL,45.467837,-73.742294
CYVR,YVR,49.19390106,-123.1839981
CYWG,YWG,49.909999847399995,-97.23989868
CYYC,YYC,51.118822,-114.009933
CYYT,YYT,47.618599,-52.7519
CYYZ,YYZ,43.6772,-79.6306
DAAG,ALG,36.693886,3.214531
DGAA,ACC,5.605189800262451,-0.166786
DNAA,ABV,9.00679,7.26317
DNMM,LOS,6.57737,3.32116
DRRN,NIM,13.4815,2.18361
DTTA,TUN,36.851002,10.2272
EBBR,BRU,50.901402,4.48444
EDDB,BER,52.362247,13.500672
EDDF,FRA,50.030241,8.561096
EDDH,HAM,53.630402,9.98823
EDDK,CGN,50.865898,7.14274
EDDL,DUS,51.289501,6.76678
EDDM,MUC,48.353802,11.7861
EDDN,NUE,49.498699,11.078056
EDDP,LEJ,51.420657,12.232705
EDDS,STR,48.689899,9.22196
EDDV,HAJ,52.461102,9.68508
EETN,TLL,59.413246,24.83264
EFHK,HEL,60.318363,24.963341
EGAA,BFS,54.65750122,-6.215829849
EGBB,BHX,52.453899,-1.74803
EGCC,MAN,53.349375,-2.279521
EGGW,LTN,51.874699,-0.368333
EGKK,LGW,51.148771,-0.192089
EGLL,LHR,51.4706,-0.461941
EGPF,GLA,55.871899,-4.43306
EGPH,EDI,55.950145,-3.372288
EGSS,STN,51.884998,0.235
EHAM,AMS,52.308601,4.76389
EHEH,EIN,51.45009995,5.374529839
EIDW,DUB,53.428713,-6.262121
EINN,SNN,52.702,-8.92482
EKBI,BLL,55.740335,9.157019
EKCH,CPH,55.61790085,12.65600014
ELLX,LUX,49.6233333,6.2044444
ENBR,BGO,60.2934,5.21814
ENGM,OSL,60.193901,11.1004
ENTC,TOS,69.683296,18.9189
ENVA,TRD,63.457802,10.924
ENZV,SVG,58.876701,5.63778
EPGD,GDN,54.377602,18.4662
EPKK,KRK,50.077702,19.7848
EPWA,WAW,52.165699,20.9671
ESGG,GOT,57.6628,12.2798
ESSA,ARN,59.64849,17.928829
EVRA,RIX,56.923599,23.9711
EYVI,VNO,54.634102,25.285801
FACT,CPT,-33.96480179,18.60169983
FALE,DUR,-29.61444444,31.11972222
FAOR,JNB,-26.1392,28.246
FBSK,GBE,-24.555201,25.9182
FDSK,SHO,-26.358611,31.716944
FIMP,MRU,-20.430201,57.683601
FLLS,LUN,-15.330833,28.452722
FMEE,RUN,-20.890087,55.518894
FMMI,TNR,-18.7969,47.478802
FNLU,LAD,-8.85837,13.2312
FPST,TMS,0.378175,6.71215
FQMA,MPM,-25.920799,32.572601
FSIA,SEZ,-4.67434,55.521801
FTTJ,NDJ,12.1337,15.034
FVHA,HRE,-17.931801,31.0928
FYWH,WDH,-22.4799,17.4709
FZAA,FIH,-4.38575,15.4446
GABS,BKO,12.5335,-7.94994
GBYD,BJL,13.338,-16.652201
GCFV,FUE,28.4527,-13.8638
GCLP,LPA,27.9319,-15.3866
GCRR,ACE,28.945499,-13.6052
GCTS,TFS,28.0445,-16.5725
GFLL,FNA,8.61644,-13.1955
GLRB,ROB,6.23379,-10.3623
GMAD,AGA,30.322478,-9.412003
GMFF,FEZ,33.927299,-4.97796
GMME,RBA,34.051498,-6.75152
GMMN,CMN,33.3675,-7.58997
GMMX,RAK,31.606899,-8.0363
GMTT,TNG,35.731741,-5.921459
GOBD,DSS,14.670878,-17.072829
GQNO,NKC,18.31,-15.969722
GVAC,SID,16.7414,-22.9494
GVNP,RAI,14.941126,-23.484728
HAAB,ADD,8.97789,38.799301
HDAM,JIB,11.5473,43.1595
HECA,CAI,30.111534,31.396694
HEGN,HRG,27.176776,33.796692
HESG,ASW,26.342515,31.743017
HESH,SSH,27.977272,34.394717
HJJJ,JUB,4.87201,31.601101
HKJK,NBO,-1.319239974,36.92779922
HKMO,MBA,-4.03483,39.5942
HLLM,MJI,32.89177,13.287878
HRYR,KGL,-1.96863,30.1395
HSSK,KRT,15.5895,32.5532
HTDA,DAR,-6.87811,39.202599
HTZA,ZNZ,-6.22202,39.224899
HUEN,EBB,0.042386,32.443501
ID-0277,null,-7.750278,111.947222
IN-0276,null,18.988686,73.068523
KABQ,ABQ,35.039976,-106.608925
KADW,ADW,38.810799,-76.866997
KATL,ATL,33.6367,-84.428101
KAUS,AUS,30.197535,-97.662015
KBDL,BDL,41.93851,-72.688066
KBNA,BNA,36.1245,-86.6782
KBOS,BOS,42.36197,-71.0079
KBUF,BUF,42.940498,-78.732201
KBWI,BWI,39.1754,-76.668297
KCLE,CLE,41.411701,-81.8498
KCLT,CLT,35.2140007,-80.94309998
KCMH,CMH,39.998001,-82.891899
KCVG,CVG,39.048801,-84.667801
KDCA,DCA,38.8521,-77.037697
KDEN,DEN,39.86169815,-104.6729965
KDFW,DFW,32.896801,-97.038002
KDTW,DTW,42.21377,-83.353786
KEWR,EWR,40.692501,-74.168701
KFLL,FLL,26.072599,-80.152702
KIAD,IAD,38.9445,-77.455803
KIAH,IAH,29.984399795532227,-95.34140015
KIND,IND,39.7173,-86.294403
KJAX,JAX,30.492469,-81.687813
KJFK,JFK,40.639447,-73.779317
KLAS,LAS,36.083361,-115.151817
KLAX,LAX,33.942501,-118.407997
KLGA,LGA,40.777199,-73.872597
KMCI,MCI,39.2976,-94.713898
KMCO,MCO,28.429399490356445,-81.30899811
KMDW,MDW,41.785999,-87.752403
KMEM,MEM,35.0424,-89.9767
KMIA,MIA,25.79319953918457,-80.29060364
KMKE,MKE,42.947201,-87.896599
KMSP,MSP,44.880081,-93.221741
KMSY,MSY,29.993401,-90.258003
KOAK,OAK,37.720085,-122.221184
KOKC,OKC,35.393388,-97.598248
KOMA,OMA,41.3032,-95.894096
KONT,ONT,34.056,-117.600998
KORD,ORD,41.9786,-87.9048
KORF,ORF,36.895341,-76.201
KPBI,PBI,26.683201,-80.095596
KPDX,PDX,45.588699,-122.598
KPHL,PHL,39.871899,-75.241096
KPHX,PHX,33.435302,-112.005905
KPIT,PIT,40.491501,-80.232903
KPVD,PVD,41.725038,-71.425668
KPWM,PWM,43.646198,-70.309303
KRDU,RDU,35.877602,-78.787498
KRIC,RIC,37.505199,-77.319702
KRNO,RNO,39.4991,-119.767998
KRSW,RSW,26.53619956970215,-81.75520325
KSAN,SAN,32.73360062,-117.1900024
KSAT,SAT,29.533701,-98.469803
KSAV,SAV,32.127602,-81.202103
KSDF,SDF,38.1744,-85.736
KSEA,SEA,47.447943,-122.310276
KSFB,SFB,28.777599334716797,-81.23750305
KSFO,SFO,37.619806,-122.374821
KSJC,SJC,37.362452,-121.929188
KSLC,SLC,40.78886,-111.979866
KSMF,SMF,38.6954,-121.591003
KSNA,SNA,33.675701,-117.867996
KSRQ,SRQ,27.394631,-82.554359
KSTL,STL,38.748697,-90.370003
KSYR,SYR,43.11119842529297,-76.10630035
KTPA,TPA,27.9755,-82.533203
KTUL,TUL,36.19839859008789,-95.88809967
LATI,TIA,41.4147,19.7206
LBBG,BOJ,42.569917,27.515173
LBSF,SOF,42.696357,23.417671
LBWN,VAR,43.232101,27.8251
LCLK,LCA,34.875099,33.624901
LDZA,ZAG,45.742901,16.0688
LEAL,ALC,38.2822,-0.558156
LEBL,BCN,41.2971,2.07846
LEIB,IBZ,38.872898,1.37312
LEMD,MAD,40.471926,-3.56264
LEMG,AGP,36.6749,-4.49911
LEPA,PMI,39.551701,2.73881
LEST,SCQ,42.896301,-8.41514
LFBD,BOD,44.8283,-0.715556
LFBO,TLS,43.629101,1.36382
LFLL,LYS,45.725996,5.090139
LFML,MRS,43.438088,5.2125
LFMN,NCE,43.658401,7.21587
LFPG,CDG,49.012798,2.55
LFPO,ORY,48.72333,2.37944
LFSB,BSL,47.60068,7.521117
LGAV,ATH,37.936401,23.9445
LGIR,HER,35.339699,25.1803
LGTS,SKG,40.51928,22.970009
LHBP,BUD,47.43018,19.262393
LIBD,BRI,41.138901,16.760599
LIBR,BRD,40.6576,17.947001
LICC,CTA,37.466801,15.0664
LICJ,PMO,38.175999,13.091
LIEE,CAG,39.251499,9.05428
LIMC,MXP,45.6306,8.72811
LIME,BGY,45.670725,9.709223
LIMF,TRN,45.200802,7.64963
LIMJ,GOA,44.412039,8.840732
LIPE,BLQ,44.5354,11.2887
LIPX,VBS,45.394955,10.887303
LIPZ,VCE,45.505299,12.3519
LIRF,FCO,41.804532,12.251998
LIRN,NAP,40.886002,14.2908
LIRP,PSA,43.683899,10.3927
LIRQ,FLR,43.808558,11.202822
LJLJ,LJU,46.223701,14.4576
LKPR,PRG,50.100874,14.259911
LLBG,TLV,32.011398,34.8867
LLER,ETH,29.727009,35.014116
LMML,MLA,35.857498,14.4775
LOWW,VIE,48.110298,16.5697
LPFR,FAO,37.01440048,-7.965909958
LPMA,FNC,32.697899,-16.7745
LPPD,PDL,37.74119949,-25.69790077
LPPR,OPO,41.24810028,-8.681389809
LPPT,LIS,38.7813,-9.13592
LQSA,SJJ,43.8246,18.331499
LROP,OTP,44.572127,26.103396
LSGG,GVA,46.238098,6.10895
LSZH,ZRH,47.458056,8.548056
LTAC,ESB,40.128101,32.995098
LTAI,AYT,36.898701,30.800501
LTBJ,ADB,38.2924,27.157
LTBS,DNM,36.71310043,28.79249954
LTDB,ADA,36.890908,35.070522
LTFE,BZV,37.250599,27.664301
LTFJ,SAW,40.898602,29.3092
LTFM,IST,41.261297,28.741951
LWSK,SKP,41.958087,21.622581
LXGB,GIB,36.151199,-5.34966
LYBE,BEG,44.818401,20.309099
LYPG,TGD,42.359402,19.2519
LZIB,BTS,48.1702,17.2127
MBPV,PLS,21.773697,-72.268321
MDLR,LRM,18.452222,-68.911111
MDPC,PUJ,18.5674,-68.363403
MDSD,SDQ,18.42970085,-69.66889954
MGGT,GUA,14.5833,-90.527496
MKJP,KIN,17.935699462890625,-76.78749847
MMCZ,CZM,20.514922,-86.928538
MMDO,DGO,24.125468,-104.527938
MMGL,GDL,20.523342,-103.310108
MMMD,MID,20.930485,-89.645462
MMMX,MEX,19.435137,-99.071328
MMMY,MTY,25.778521,-100.106989
MMMZ,MZT,23.161474,-106.264572
MMPR,PVR,20.679913,-105.254391
MMSD,SJD,23.151919,-109.720731
MMSM,TLC,19.7357,-99.0257
MMTJ,TIJ,32.541043,-116.969976
MMUN,CUN,21.039444,-86.874304
MPTO,PTY,9.07136,-79.383499
MRLB,LIR,10.5933,-85.544403
MROC,SJO,9.99386,-84.208801
MSLP,SAL,13.4409,-89.055702
MTPP,PAP,18.580023,-72.292596
MUHA,HAV,22.989200592041016,-82.40910339
MUVR,VRA,23.034401,-81.435303
MWCR,GCM,19.292801,-81.357697
MYNN,NAS,25.039,-77.466202
MZBZ,BZE,17.539951,-88.303556
NTAA,PPT,-17.553699,-149.606995
NVVV,VLI,-17.699301,168.320007
NZAA,AKL,-37.01199,174.786331
NZCH,CHC,-43.48939896,172.53199768066406
NZWN,WLG,-41.327202,174.804993
OBBI,BAH,26.267295,50.63764
OEDF,DMM,26.471201,49.797901
OEDR,RUH,26.2654,50.152
OEJN,JED,21.6796,39.156502
OEMA,MED,24.5534,39.705101
OERK,RUH,24.9576,46.698799
OIIE,IKA,35.416099548339844,51.152198791503906
OIII,THR,35.68920135498047,51.31340026855469
OIMM,MHD,36.235198974609375,59.64099884033203
OISS,SYZ,29.5392,52.589802
OJAI,AMM,31.72260094,35.99319839
OKKK,KWI,29.226601,47.968899
OLBA,BEY,33.820899963378906,35.488399505615234
OM-0003,null,19.501944,57.634167
OMAA,AUH,24.443764,54.651718
OMDB,DXB,25.25279999,55.36439896
OMDW,DWC,24.896356,55.161389
OMSJ,SHJ,25.3286,55.5172
OOMS,MCT,23.5933,58.284401
OPIS,ISB,33.549,72.82566
OPKC,KHI,24.9065,67.160797
OPLA,LHE,31.521601,74.403603
ORBI,BGW,33.262501,44.2346
OSDI,DAM,33.41149902,36.51559829711914
OTHH,DOH,25.273056,51.608056
PANC,ANC,61.179004,-149.992561
PGUM,GUM,13.4834,144.796005
PHNL,HNL,21.32062,-157.924228
PHOG,OGG,20.896263,-156.431837
RCKH,KHH,22.577101,120.349998
RCTP,TPE,25.0777,121.233002
RJAA,NRT,35.764702,140.386002
RJBB,KIX,34.427299,135.244003
RJCC,CTS,42.7752,141.692001
RJFF,FUK,33.585899353027344,130.4510040283203
RJFK,KOJ,31.8034,130.718994
RJGG,NGO,34.858398,136.804993
RJOO,ITM,34.7855,135.438004
RJSS,SDJ,38.139702,140.917007
RJTT,HND,35.552299,139.779999
RJTY,null,35.748501,139.348007
RKJB,MWX,34.991406,126.382814
RKPC,CJU,33.512058,126.492548
RKPK,PUS,35.179501,128.938004
RKSI,ICN,37.469101,126.450996
RKSS,GMP,37.5583,126.791
ROAH,OKA,26.195801,127.646004
RODN,DNA,26.351667,127.769444
RPLL,MNL,14.5086,121.019997
RPMD,DVO,7.12552,125.646004
RPVM,CEB,10.309261,123.97974
RU-0016,null,52.634998,39.445
SABE,AEP,-34.5592,-58.4156
SAEZ,EZE,-34.8222,-58.5358
SBBE,BEL,-1.379279,-48.476207
SBBR,BSB,-15.869167,-47.920834
SBCF,CNF,-19.63571,-43.966928
SBEG,MAO,-3.03861,-60.049702
SBFL,FLN,-27.670279,-48.552502
SBFZ,FOR,-3.775833,-38.532222
SBGL,GIG,-22.809999,-43.250557
SBGR,GRU,-23.431944,-46.467778
SBPS,BPS,-16.438426,-39.080584
SBSV,SSA,-12.908611,-38.322498
SBVT,VIX,-20.258,-40.285
SCEL,SCL,-33.39300156,-70.78579712
SEGU,GYE,-2.15742,-79.883598
SEQM,UIO,-0.125399,-78.354306
SGAS,ASU,-25.240156,-57.519227
SGEN,AGT,-27.227537,-55.837584
SGES,IGU,-25.457186,-54.839544
SGME,PIL,-22.046499,-60.6217
SKBO,BOG,4.70159,-74.1469
SLVR,VVI,-17.6448,-63.135399
SMJP,PBM,5.45283,-55.187801
SOCA,CAY,4.819964,-52.361326
SPIM,LIM,-12.0219,-77.114305
SPZO,CUZ,-13.53569984,-71.938797
SUMU,MVD,-34.835647,-56.026497
SVBC,BLA,10.111111,-64.692222
SVMI,CCS,10.601194,-66.991222
TFFF,FDF,14.591,-61.003201
TFFR,PTP,16.265301,-61.531799
TJSJ,SJU,18.4394,-66.001801
TLPL,UVF,13.7332,-60.952599
TNCA,AUA,12.5014,-70.015198
TNCB,BON,12.131,-68.268501
TNCC,CUR,12.1889,-68.959801
TNCM,SXM,18.041,-63.108898
UAAA,ALA,43.354267,77.042828
UACC,TSE,51.027035,71.467094
UAFM,FRU,43.06129837,74.4776001
UBBB,GYD,40.467498779296875,50.04669952392578
UDYZ,EVN,40.14730072,44.39590073
UGTB,TBS,41.669201,44.9547
UHWW,VVO,43.396256,132.148155
UKBB,KBP,50.345001,30.894699
UKLL,LWO,49.8125,23.9561
ULLI,LED,59.800301,30.262501
UMMS,MSQ,53.888071,28.039964
UNKL,KJA,56.173077,92.492437
UNNT,OVB,55.019756,82.618675
URRP,ROV,47.493888,39.924722
URSS,AER,43.449902,39.9566
USSS,SVX,56.74309921,60.80270004
UTAA,ASB,37.986801,58.361
UTTT,TAS,41.25790024,69.28119659
UUBW,null,55.553299,38.150002
UUDD,DME,55.408798,37.9063
UUEE,SVO,55.972599,37.4146
UUWW,VKO,55.591499,37.261501
UWKD,KZN,55.606201,49.278702
UWSG,GSV,51.712778,46.171111
UWUU,UFA,54.55749893,55.87440109
UWWW,KUF,53.504902,50.164299
VABB,BOM,19.08869934,72.86789703
VAHS,BDQ,22.378824,71.039391
VCBI,CMB,7.180759906768799,79.88410186767578
VCRI,HRI,6.284467,81.124128
VDPP,PNH,11.5466,104.844002
VDSA,REP,13.369167,104.223056
VECC,CCU,22.654699,88.446701
VGHS,DAC,23.843347,90.397783
VHHH,HKG,22.308901,113.915001
VIDP,DEL,28.55563,77.09519
VMMC,MFM,22.149599,113.592003
VNKT,KTM,27.6966,85.3591
VOBL,BLR,13.1979,77.706299
VOCI,COK,10.151047,76.400838
VOGA,GOI,15.744257,73.860625
VOGO,GOI,15.3808,73.831398
VOHS,HYD,17.231318,78.429855
VOMM,MAA,12.990005,80.169296
VOTV,TRV,8.48212,76.920097
VRMM,MLE,4.191830158233643,73.52909851074219
VTBD,DMK,13.91259956,100.6070023
VTBS,BKK,13.681099891662598,100.74700164794922
VTCC,CNX,18.766799926799997,98.96260071
VTSP,HKT,8.1132,98.316902
VVNB,HAN,21.221201,105.806999
VVTS,SGN,10.8188,106.652
VVDN,DAD,16.0439,108.199
VVPQ,PQC,10.227,103.963
VYMD,MDL,21.702199935913086,95.97789764404297
VYYY,RGN,16.907300949099998,96.1332016
WAAA,UPG,-5.06163,119.554001
WADD,DPS,-8.748409,115.167123
WAJJ,DJJ,-2.579627,140.519857
WALL,BPN,-1.268342,116.89452
WARR,SUB,-7.37983,112.787003
WBSB,BWN,4.9442,114.928001
WIII,CGK,-6.12556982,106.6559982
WIMM,KNO,3.637847,98.870566
WMKK,KUL,2.74558,101.709999
WSSS,SIN,1.35019,103.994003
YBBN,BNE,-27.38419914,153.11700439453125
YMML,MEL,-37.661548,144.836432
YPAD,ADL,-34.947512,138.533393
YPDN,DRW,-12.41497,130.88185
YPPH,PER,-31.94029999,115.96700286865234
YSSY,SYD,-33.946098,151.177002
ZBAA,PEK,40.080101013183594,116.58499908447266
ZBAD,PKX,39.509945,116.41092
ZBHH,HET,40.849658,111.824598
ZBTJ,TSN,39.124401092499994,117.3460007
ZBYN,TYN,37.746899,112.627998
ZGGG,CAN,23.392401,113.299004
ZGHA,CSX,28.189199,113.220001
ZGKL,KWL,25.219828,110.039553
ZGNN,NNG,22.608544,108.175335
ZGSZ,SZX,22.639299,113.810997
ZHCC,CGO,34.526497,113.849165
ZHEC,WUH,30.341178,115.03926
ZHHH,WUH,30.774798,114.213723
ZJHK,HAK,19.9349,110.459
ZJSY,SYX,18.3029,109.412003
ZKPY,FNJ,39.224098,125.669998
ZLLL,ZGC,36.515202,103.620003
ZLXY,XIY,34.447102,108.751999
ZMCK,HET,47.646916,106.819833
ZPPP,KMG,25.110313,102.936743
ZSAM,XMN,24.54400062561035,118.12799835205078
ZSCN,KHN,28.864815,115.90271
ZSFZ,FOC,25.934669,119.66318
ZSHC,HGH,30.23609,120.428865
ZSJN,TNA,36.857201,117.216003
ZSNB,NGB,29.82670021057129,121.46199798583984
ZSNJ,NKG,31.735032,118.865949
ZSPD,PVG,31.1434,121.805
ZSQD,TAO,36.361953,120.088171
ZSSS,SHA,31.198104,121.33426
ZSWZ,WNZ,27.910572,120.853465
ZSYT,YNT,37.659724,120.978124
ZUCK,CKG,29.712254,106.651895
ZUGY,KWE,26.541466,106.803331
ZUTF,CTU,30.31252,104.441284
ZUUU,CTU,30.558257,103.945966
ZWWW,URC,43.907100677490234,87.47419738769531
ZYCC,CGQ,43.996201,125.684998
ZYHB,HRB,45.623402,126.25
ZYTL,DLC,38.965719,121.538477
ZYTX,SHE,41.639801,123.483002