Abb,Meaning
A,호박색
AAA,수정기상전문
A/A,공대공
AAD,배정고도 이탈
AAIM,항공기 자체 무결성 감시
AAL,비행장표점 기준 고도
ABI,사전경계정보?
ABM,정좌(우)현에
ABN,비행장 등대
ABT,대략
ABV,위에
AC,고적운
ACARS,공중/지상 데이터통신시스템
ACAS,공중충돌경고장치
ACC,지역관제소(항공교통센터)?
ACCID,항공기사고통보
ACFT,항공기
ACK,수신확인
ACL,고도계점검지점
ACN,항공기등급번호
ACP,접수(전문형식지정어)
ACPT,접수하다 또는 접수된
ACT,활성의 또는 활성
AD,비행장
ADA,조언구역
ADC,비행장 지도
ADDN,"추가, 추가의"
ADF,자동방향탐지기
ADIZ,방공식별구역
ADJ,인접한
ADO,비행장사무소
ADR,조언항공로
ADS,자동종속감시시설
ADS-B,자동종속감시시설-방송
ADS-C,자동종속감시시설-계약
ADSU,자동종속감시장치
ADVS,조언업무
ADZ,조언하다.
AES,항공기 지구국
AFIL,비행중에 제출된 비행계획서
AFIS,비행장 비행정보업무
AFM,"예, 긍정, 맞음, 정확함"
AFS,항공고정업무
AFT,"...이후(시간, 장소)"
AFTN,항공고정통신망
A/G,공대지
AGA,"비행장, 항공로 및 지상지원시설"
AGL,지상고도
AGN,"재차, 다시"
AIC,항공정보회람
AIDC,항공관제정보교환망
AIP,항공정보간행물
AIRAC,항공정보관리절차
AIREP,항공기보고
AIRMET,저고도 항공기 운항안전에 영향을 줄 수 있는 항공로 기상현상에 관한 정보
AIS,항공정보업무
ALA,착륙(착수)지역
ALERFA,경계단계
ALR,경계(전문형식지정어)
ALRS,경계업무
ALS,진입등시스템
ALT,고도
ALTN,"교차하다, 교차하는(교차등화는 색이 교대로 바뀜)"
ALTN,교체(공항(또는 비행장))
AMA,구역최저고도
AMD,"수정, 수정된(수정된 기상전문을 나타내기위해 사용됨); 전문형식지정어)"
AMDT,수정판(항공정보간행물 수정판)
AMS,항공이동업무
AMSL,해발고도
AMSS,항공이동위성통신시설
ANC,항공도-1:500 000
ANCS,항행도-소축척
ANS,응답
AOC,비행장장애물도
AP,공항
APAPI,간이식 진입각지시등
APCH,접근
APDC,항공기 주기/접현도
APN,계류장
APP,"접근관제소, 접근관제, 접근관제업무"
APR,4월
APRX,"대략, 대략적으로"
APSG,통과 후
APV,"승인하다, 승인된, 승인"
ARC,지역도
ARNG,조정하다.
ARO,항공교통업무취급소
ARP,비행장 표점
ARP,항공기보고(전문형식 지정어)
ARQ,자동오차교정
ARR,도착(전문형식 지정어)
ARR,"도착하다, 도착"
ARS,특별항공기보고(전문형식 지정어)
ARST,제동(항공기제동장비의 부분 명시)
AS,고층운
ASC,"~까지 상승, ~까지 상승함"
ASDA,가속정지가능거리
ASE,고도측정시스템오류
ASHTAM,"화산재고시보(항공기 운항에 중요한 화산활동, 화산폭발 및/또는 화산 재구름의 변경사항을 특정형식으로 통보하는 특별 항공고시보)"
ASPH,아스팔트
AT...,...에(기상변화가 시작될 것으로 예상된 시간이 이어짐)
ATA,실제도착시간
ATC,항공교통관제
ATCSMAC,ATC 감시 최저고도 지도
ATD,실제출발시간
ATFM,항공교통흐름관리
ATIS,공항정보방송시설
ATM,항공교통관리
ATN,항공종합통신망
ATP,...에(시간 또는 장소)
ATS,항공교통업무
ATTN,주의
AT-VASIS,간이 T형 진입각지시등
ATZ,비행장 교통구역
AUG,8월
AUTH,"인가된, 인가"
AUW,총중량
AUX,보조
AVBL,"이용 가능한, 이용가능"
AVG,평균
AVGAS,항공유
AWTA,가능한 시간에 조언하라.
AWY,항공로
AZM,방위각
B,청색
BA,제동상태
BARO-VNAV,기압고도계를 이용한 수직정보제공 항행
BASE,운저
BCFG,산재된 안개
BCN,항공등대(항공지상등화)
BCST,방송
BDRY,경계
BECMG,변화하는
BFR,...의 앞에
BKN,운량 5/8이상 7/8이하
BL...,"날리는(DU = 먼지, SA = 모래 또는 SN = 눈과 결합)"
BLDG,건물
BLO,구름 아래
BLW...,...미만
BOMB,폭탄투하
BR,박무
BRF,짧은 (원하거나 요구하는 접근의 종류를 나타내기 위해 사용됨)
BRG,방위
BRKG,제동
BS,상업방송국
BTL,층간
BTN,...사이
BUFR,기상데이터의 표현을 위한 2진법의 일반형식
...C,중앙(평행활주로를 식별하기 위해 활주로 번호 다음에 옴)
C,섭씨
CA,고도 상승을 위한 진로
CAT,범주
CAT,청천난류
CAVOK,"시정, 구름 및 현재 기상이 규정된 값이나 상태보다 양호(""KAV-OH-KAY""로 발음)"
CB,"적난운 (""CEE-BEE""로 발음)"
CC,권적운
CCA,"(또는 CCB, CCC 등의 순서로 옴) 수정기상전문 (전문형식지정어)"
CD,광도의 단위 칸델라
CDN,조정
CF,...로 주파수를 변경
CF,픽스로 향하는 진로
CFM*,확인한다.(절차신호로서 항공고정업무에 사용됨)
CGL,선회등
CH,채널
CH#,(절차신호로서 항공고정업무에 사용되는) 채널로 수신된 전문의 채널 순번 기록을 비교하기 위해 채널연속성점검 전송?
CHEM,화학의
CHG,수정(전문형식 지정어)
CI,권운
CIDIN,공통 ICAO 데이터 교환망?
CIT,대도시 주변 또는 상공
CIV,민간
CK,점검
CL,중심선
CLA,투명한 형태의 얼음 생성
CLBR,교정
CLD,구름
CLG,호출
CLIMB-OUT,급상승구역
CLR,허가하다 또는 ~까지 허가 또는 허가
CLRD,활주로 개방(METAR/SPECI에 사용)
CLSD,폐쇄하다 또는 폐쇄된 또는 폐쇄
CM,센티미터
CMB,~까지 상승 또는 ~까지 상승함
CMPL,완료 또는 완료된 또는 완료하다
CNL,취소 또는 취소된
CNL,비행계획서 취소(전문형식 지정어)
CNS,"통신, 항행 및 감시"
COM,통신
CONC,콘크리트
COND,조건
CONS,계속적인
CONST,공사 또는 공사중인
CONT,계속하다 또는 계속된
COOR,조정하다 또는 조정
COORD,좌표
COP,주파수변경지점
COR,수정하다 또는 수정 또는 수정된 (수정기상전문을 나타내기 위해 사용; 전문형식지정어)
COT,해안에
COV,덮다 또는 덮인 또는 덮음
CPDLC,관제사-조종사간 데이터통신시설
CPL,최신 비행계획서(전문형식 지정어)
CRC,주기적 덧붙임 검사
CRM,충돌위험모형
CRZ,순항하다.
CS,호출부호
CS,권층운
CTA,관제구
CTAM,상승 후 고도 유지
CTC,교신하다.
CTL,관제
CTN,주의
CTR,관제권
CU,적운
CUF,적운형
CUST,세관
CVR,조종실음성기록장치
CW,지속파
CWY,개방구역
D,하향경향(이전 10분동안 활주로가시거리 경향)
D...,위험구역(식별부호가 이어짐)
DA,결심고도
D-ATIS,"(""DEE-ATIS""로 발음)? 디지털 공항정보방송시설"
DCD,이중복선
DCKG,접현
DCP,기준통과점
DCPC,관제사와 조종사간 직접 통신
DCS,이중단선
DCT,직접(비행계획서 허가 및 접근형태와 연관하여 사용)?
DE*,...로 부터(호출국의 호출부호 앞에 사용) (절차신호로서 항공고정업무(AFS)에 사용)
DEC,12월
DEG,도(방위 또는 각도)
DEP,출발하다 또는 출발
DEP,출발(전문형식지정어)
DEPO,퇴적
DER,이륙활주로종단
DES,...까지 강하 또는 ~까지 강하함
DEST,목적지
DETRESFA,조난단계
DEV,이탈 또는 이탈하는
DF,방향탐지
DFDR,디지털 비행자료기록장치
DFTI,접지지시계기로부터 거리
DH,결심고도(활주로접지구역으로부터)
DIF,발산
DIST,거리
DIV,회항하다 또는 목적지 변경
DLA,지연하다 또는 지연된
DLA,지연(전문형식 지정어)
DLIC,데이터링크초기능력(ATS 지상시스템과 항공기 시스템간 데이터링크 통신을 가능하게 하는 정보를 제공하는 통신시스템의 작업)
DLY,매일
DME,거리측정시설?
DNG,위험 또는 위험한
DOM,국내의
DP,노점온도
DPT,깊이
DR,추측항법
DR...,"낮은 날림(DU = 먼지, SA = 모래 또는 SN = 눈과 결합)"
DRG,동안
DS,먼지폭풍?
DSB,양측파대
DTAM,강하 후 고도 유지
DTG,일자-시간 그룹
DTHR,활주로 이설시단
DTRT,악화시키다 또는 악화되는
DTW,세로 이중 겹바퀴 ?
DU,먼지
DUC,겹구름
DUPE,중복된 전문(절차신호로서 항공고정업무(AFS)에 사용)
DUR,기간
D-VOLMET,비행중인 항공기에 제공하기 위한 데이터링크 기상 방송 정보
DVOR,도플러식 전방향표지시설
DW,이중바퀴
DZ,이슬비
E,동쪽 또는 동경
EAT,접근예정시간
EB,동쪽행
EDA,고도차이지역
EEE,오류(절차신호로서 항공고정업무(AFS)에 사용)
EET,소요예정시간
EFC,예상허가발부시간
EFIS,전자비행계기장치
EGNOS,유럽 위성기반보정시스템
EHF,극초단파
ELBA,항공기용 구명무선기
ELEV,표고
ELR,초장거리
ELT,비상위치지시용 무선표지설비
EM,"발사(전파의), 배출(배기가스)"
EMBD,구름층 사이에 묻혀있는 (다른 구름층에 묻혀있는 적란운을 나타내기 위해 사용)
EMERG,비상
END,활주로 종단(RVR 관련)
ENE,동북동
ENG,엔진
ENR,항공로
ENRC...,항공로도(이름/명칭이 이어짐)
EOBT,이동예정시간
EQPT,장비
ER*,여기~ 또는 이와 함께
ESE,동남동
EST,예측하다 또는 예측된 또는 예정 (전문형식지정어)
ETA,도착예정시간 또는 도착예정
ETD,출발예정시간 또는 출발예정
ETO,중요지점통과예정시간
EUR RODEX,유럽지역 운영기상 데이터교환
EV,모든
EVS,시각강화시스템
EXC,...을 제외하고는
EXER,연습 또는 연습하는 또는 연습하다.
EXP,예상
EXTD,연장하다 또는 연장하는
F,고정된
FA,픽스에서 고도까지 진로
FAC,시설
FAF,최종접근픽스
FAL,국제항공운송의 출입국 간소화
FAP,최종접근지점
FAS,최종접근단계
FATO,헬기의 최종접근 및 이륙구역
FAX,모사전송
FBL,"약한(기상현상, 혼신 또는 공전의 보고의 강도를 표시하는데 사용. 예, FBL RA = 약한 비)"
FC,깔때기 구름 (토네이도 또는 물기둥)
FCST,예보
FCT,마찰계수
FDPS,비행자료처리시스템
FEB,2월
FEW,운량이 1/8이상 2/8이하
FG,안개
FIC,비행정보센터
FIR,비행정보구역
FIS,비행정보업무
FISA,자동비행정보업무
FL,비행고도
FLD,비행장 지면
FLG,섬광하는
FLR,조명탄
FLT,비행
FLTCK,비행검사
FLUC,변동하는 또는 변동 또는 변동된
FLW,뒤따르다 또는 뒤따르는
FLY,날다 또는 날으는
FM,한 픽스에서 수동종료지점까지 진로 (항행 데이터베이스 입력에 사용)
FM,...로부터
FM...,...로부터(기상변화가 시작될 것으로 예보된 시간이 이어짐)
FMC,비행관리컴퓨터
FMS,비행관리시스템
FMU,흐름관리석
FNA,최종접근
FPAP,비행경로정렬지점
FPL,제출비행계획서(전문형식 지정어)
FPM,분당 피트
FPR,비행계획서상의 비행로
FR,잔여 연료
FREQ,주파수
FRI,금요일
FRNG,사격
FRONT,전선(기상관련)
FROST,서리(비행장경보에 사용)
FRQ,빈번한
FSL,착륙
FSS,비행정보업무국
FST,첫째
FT,피트(치수의 단위)
FTE,비행기술오류
FTP,가상시단지점
FTT,비행기술오차
FU,연기
FZ,결빙
FZDZ,어는 이슬비
FZFG,어는 안개
FZRA,어는 비
G,녹색
G...,평균풍속으로부터 변화(돌풍) (METAR/SPECI 및 TAF에 숫자가 이어짐)
GA,"계속하라, 송신을 재개하다 (절차신호로서 항공고정업무(AFS)에 사용)"
G/A,지대공
G/A/G,지대공 및 공대지
GAGAN,위성기반광역보강시스템(인도)
GAIN,대기속도 또는 정풍 증가
GAMET,저고도비행을 위한 지역기상예보
GARP,위성항법시설(지상기반지역보강시스템) 방위참조지점
GBAS,"위성항법시설(지상기반지역보강시스템) (""GEE-BAS”로 발음됨)"
GCA,지상유도접근시설 또는 지상유도접근
GEN,일반 또는 총칙
GEO,지리 또는 진방위?
GES,지상 지구국
GLD,활공기
GLONASS,"전지구위성측지시스템(러시아) (""GLO-NAS""로 발음됨)"
GLS,위성항법시설(지상기반지역보강시스템) 착륙시설
GMC . .,지상이동도 (명칭/제목이 이어짐)
GND,지상
GNDCK,지상점검
GNSS,위성항법시설
GP,활공각제공시설
GPA,활공각
GPIP,활공로 교차지점
GPS,위성항행시스템
GPWS,지상접근경고장치
GR,우박
GRAS,"위성항법시설(지상기반광역보강시스템)? (""GRASS""로 발음됨)"
GRASS,초지착륙지역
GRIB,2진법 형태의 격자점 값으로 구성된 처리된 기상자료 (기상코드)
GRVL,자갈?
GS,대지속도
GS,작은 우박 및/또는 싸락눈
GUND,지오이드기복
H,고기압지역 또는 고기압의 중심
H24,24시간 운용
HA,고도에서의 체공/레이스트랙?
HAPI,헬기장진입각지시등
HBN,위험표지등대
HDF,단파 방향탐지국
HDG,기수
HEL,헬기
HF,단파
HF,한 픽스에서의 체공/레이스트랙
HGT,높이 또는 표고
HJ,주간
HLDG,체공
HM,수동 종료점에서의 체공/레이스트랙
HN,야간
HO,운영기준 충족시에만 이용 가능
HOL,휴일
HOSP,환자수송기
HPA,헥토파스칼
HR,시간
HS,계획된 운영시간에만 이용가능
HUD,전방시현기
HURCN,허리케인
HVDF,"HF, VHF 방향 탐지국(병설)"
HVY,무거운
HVY,"강한 (기상현상의 강도를 나타내기 위해 사용. 예, HVY RA = 강한 비)"
HX,특정하게 명시된 운용시간 없음
HYR,...보다 높은
HZ,연무
HZ,헤르츠(초당 진동횟수)
IAC...,계기접근도 (명칭/제목이 이어짐)
IAF,첫접근지점
IAO,구름 내/외
IAP,계기접근절차
IAR,항공로 교차점
IAS,지시대기속도
IBN,식별등대
IC,"세빙 (떠다니는 아주 작은 세빙, 다이아몬드 먼지로도 불림)"
ICE,착빙
ID,식별자 또는 식별하다
IDENT,식별
IF,중간접근픽스
IFF,피아식별장치
IFR,계기비행방식
IGA,국제일반항공
ILS,계기착륙시설
IM,내측마커
IMC,계기기상상태
IMG,출입국관리
IMI,의문부호 (질문부호) (절차신호로서 항공고정업무(AFS)에 사용)
IMPR,개선하다 또는 개선하는
IMT,즉각의 또는 즉시
INA,첫접근
INBD,입항
INC,운중
INCERFA,불확실 단계
INFO,정보
INOP,작동하지 않는
INP,가능하지 않을 경우
INPR,진행중
INS,관성항법장치
INSTL,설치하다 또는 설치된 또는 설치
INSTR,계기
INT,교차
INTL,국제
INTRG,질문기
INTRP,중단하다 또는 중단 또는 중단된
INTSF,강화하다 또는 강화하는
INTST,강도
IR,활주로 결빙
IRS,관성항법장비?
ISA,국제표준대기
ISB,독립측파대
ISOL,격리
JAN,1월
JTST,제트기류
JUL,7월
JUN,6월
KG,킬로그램
KHZ,킬로헤르츠
KIAS,노트로 표시된 계기속도
KM,킬로미터
KMH,시속(시간당 킬로미터)
KPA,킬로파스칼
KT,노트
KW,킬로와트
...L,좌측 (평행활주로를 식별하기 위해 활주로번호 다음에 옴)
L,"로케이터 (LM, LO 참조)"
L,저기압지역 또는 저기압 중심
LAM,확인응답 (전문형식지정어)
LAN,육지
LAT,위도
LCA,국지 또는 국지적으로 또는 위치 또는 위치한
LDA,착륙가능거리
LDAH,"착륙가능거리, 헬기"
LDG,착륙
LDI,착륙방향지시기
LEN,길이
LF,장파? [30 to 300 kHz]
LGT,항공등화 또는 조명
LGTD,조명된
LIH,고광도
LIL,저광도
LIM,중광도
LINE,선형(SIGMET에서 사용)
LM,중간 로케이터
LMT,지역표준시
LNAV,횡적안내정보제공항행
LNG,긴 (원하거나 요구하는 접근의 종류를 나타내기 위해 사용됨)
LO,외측로케이터
LOC,방위각제공시설
LONG,경도
LORAN,장거리항행시스템
LOSS,대기속도 또는 정풍 감소
LPV,수직안내정보가 제공되는 로컬라이저 항행성능
LR,마지막으로 수신한 전문은 ~임 (절차신호로서 항공고정업무(AFS)에 사용)
LRG,장거리
LS,마지막으로 송신한 전문은 ~임 또는 마지막 전문은 ~임 (절차신호로서 항공고정업무(AFS)에 사용)
LTD,제한된
LTP,착륙시단지점
LTT,유선전신
LV,약하고 변하는(바람과 관련된)
LVE,떠나다 또는 떠나는
LVL,고도
LVP,저시정절차
LYR,층 또는 층으로 이루어진
...M,미터(앞에 숫자가 옴)
M...,마하수(뒤에 숫자가 이어짐)
M...,활주로거리거리의 최저치(정시관측 및 특별관측보고의 숫자가 이어짐)
MAA,최고승인고도
MAG,자방위의
MAHF,실패접근체공픽스
MAINT,"정비, 유지, 보수"
MAP,항공지도 및 도면
MAPT,실패접근지점
MAR,바다
MAR,3월
MAS,수동 Al 단방향방식
MATF,실패접근선회픽스
MAX,최대
MAY,５월
MBST,마이크로버스트
MCA,최저통과고도
MCW,변조지속파
MDA,최저강하고도
MDF,중파방향탐지국
MDH,최저강하높이
MEA,최저항공로고도
MEHT,활주로시단상 최저시각통과높이(진입각지시등에 사용)
MET,기상 또는 기상학
METAR,정시관측보고(기상코드)
MET,국지정기기상보고(평문 약어 사용)
MF,중파? [300 to 3 000 kHz]
MHDF,중단파 방향탐지국(병설)
MHVDF,"중,단, 초단파방향탐지국(병설)"
MHZ,메가헤르츠
MID,중간 RVR 지점
MIFG,엷은안개
MIL,군
MIN,분
MIS,없어진 ~ (전송식별번호) (절차신호로서 항공고정업무(AFS)에 사용)
MKR,마커무선표지
MLS,계기착륙시설(마이크로파)
MM,중간마커
MNM,"최소, 최저"
MNPS,최소항행성능기준
MNT,감시하다 또는 감시하는 또는 감시되는
MNTN,유지하다.
MOA,군훈련공역
MOC,최저장애물회피허용치(요구되는)
MOCA,최저장애물회피고도
MOD,"중간강도의 (기상현상, 혼신 또는 공전 보고의 강도를 나타내기 위해 사용. 예, MODRA = 중간 강도의 비)"
MON,산악상공?
MON,월요일
MOPS,최저성능기준
MOV,이동하다 또는 이동하는 또는 이동
MPS,초속(초당 미터)
MRA,최저수신가능고도
MRG,중거리
MRP,항공교통업무/기상 보고지점
MS,음의
MSA,최저섹터고도
MSAS,위성기반광역보강시스템(일본)
MSAW,최저안전고도경고
MSG,전문
MSL,평균해수면
MSR,전문 ~(전송식별번호)이 잘못 전달되었음 (절차신호로서 항공고정업무(AFS)에 사용)
MSSR,모노펄스 2차 감시레이더
MT,산
MTU,미터법
MTW,산악파
MVDF,"중, 초단파 방향탐지국(병설)"
MWO,기상감시소
MX,혼합형 얼음 생성(흰색과 투명색)
N,변화경향없음(이전 10분동안 RVR에서)
N,북 또는 북위
NADP,소음저감출발절차
NASC,국가 항공정보업무시스템 센터
NAT,북대서양
NAV,항행
NB,북쪽방향
NBFR,...의 앞이 아님
NC,변화 없음
NCD,감지된 구름 없음(자동화된 METAR/SPEC에 사용된)
NDB,무지향표지시설
NDV,방향변화를 이용할 수 없음 (자동화된 METAR/SPECI에 사용된)
NE,북동
NEB,북동방향
NEG,없음 또는 부정 또는 허가하지 않음 또는 정확하지 않음
NGT,밤
NIL,없음 또는 보낼 전문 없음
NM,해리(해상마일)
NML,정상
NN,"무명의, 익명의"
NNE,북북동
NNW,북북서
NO,아님 (부정) (절차신호로서 항공고정업무(AFS)에 사용)
NOF,국제항공고시보취급소
NOSIG,현저한 변화 없음 (착륙 경향예보에 사용)
NOTAM,항공고시보
NOV,11월
NOZ,장비성능상 운영에 신뢰성을 유지할 수 있는 범위
NPA,비정밀접근
NR,"번호, 수"
NRH,응답없음
NS,난층운
NSC,특이할 구름 없음
NSE,항행시스템오류
NSW,중요기상현상 없음
NTL,국내
NTZ,진입불가구역?
NW,북서
NWB,북서방향
NXT,다음
OAC,대양지역관제센터
OAS,장애물평가표면
OBS,관측하다 또는 관측된 또는 관측
OBSC,가리다 또는 차폐된 또는 차폐되는
OBST,장애물
OCA,장애물회피고도
OCA,대양관제지역
OCC,명멸(등화)
OCH,장애물회피높이
OCNL,때때로의 또는 때때로
OCS,장애물회피표면
OCT,10월
OFZ,무장애구역
OGN,발신 (절차신호로서 항공고정업무(AFS)에 사용)
OHD,직상공
OIS,장애물식별표면
OK,동의함 또는 정확함 (절차신호로서 항공고정업무(AFS)에 사용)
OLDI,온라인자료교환
OM,외측마커
OPA,"불투명, 흰색 형태의 얼음생성"
OPC,관제지시는 운항통제이다.
OPMET,운영기상(정보)
OPN,개방하다 또는 개방하는 또는 개방된
OPR,운영자 또는 운영하다 또는 영향을 미치는 또는 운영하는 또는 운영상의
OPS,운영
O/R,요청 시
ORD,순서
OSV,대양기지국선
OTP,운상
OTS,계획추적시스템
OUBD,출항
OVC,운량 8/8
P...,풍속 및 활주로가시거리(RVR) 최대치 (METAR/SPECI 및 TAF의 수치가 이어짐)
P...,금지구역 (식별번호가 이어짐)
PA,정밀접근
PALS,정밀진입등시스템(등급 명시)
PANS,항행업무절차
PAPI,진입각지시등
PAR,레이더시설(정밀접근레이더)
PARL,평행
